Objetivo PND,Meta ODS,Vinculación,PND_subgrupo,ODS_subgrupo,ODS_grupo,PND_grupo
1.1.1 Garantizar a toda la población el derecho universal a la identidad.  ,"16.9 De aquí a 2030, proporcionar acceso a una identidad jurídica para todos, en particular mediante el registro de nacimientos",Parcial,PND_1_1_1,ODS_16_9,ODS_16,PND_1_1
1.1.10 Reducir la mortalidad neonatal y de niños menores de 5 años.,"3.2  Para 2030, poner fin a las muertes evitables de recién nacidos y de niños menores de 5 años, logrando que todos los países intenten reducir la mortalidad neonatal al menos hasta 12 por cada 1.000 nacidos vivos, y la mortalidad de niños menores de 5 años al menos hasta 25 por cada 1.000 nacidos vivos",Total,PND_1_1_10,ODS_3_2 ,ODS_03,PND_1_1
1.1.11 Aumentar el acceso a servicios de atención y desarrollo en la primera infancia con un enfoque integral,"4.2 De aquí a 2030, asegurar que todas las niñas y todos los niños tengan acceso a servicios de atención y desarrollo en la primera infancia y educación preescolar de calidad, a fin de que estén preparados para la enseñanza primaria",Total,PND_1_1_11,ODS_4_2,ODS_04,PND_1_1
1.1.12 Garantizar el acceso de sus derechos a niños/as y adolescentes.,"1.4 Para 2030, garantizar que todos los hombres y mujeres, en particular los pobres y los vulnerables, tengan los mismos derechos a los recursos económicos, así como acceso a los servicios básicos, la propiedad y el control de las tierras y otros bienes, la herencia, los recursos naturales, las nuevas tecnologías apropiadas y los servicios financieros, incluida la micro financiación",Parcial,PND_1_1_12,ODS_1_4,ODS_01,PND_1_1
1.1.12 Garantizar el acceso de sus derechos a niños/as y adolescentes.,"16.2 Poner fin al maltrato, la explotación, la trata y todas las formas de violencia y tortura contra los niños",Parcial,PND_1_1_12,ODS_16_2,ODS_16,PND_1_1
1.1.12 Garantizar el acceso de sus derechos a niños/as y adolescentes.,16.3 Promover el estado de derecho en los planos nacional e internacional y garantizar la igualdad de acceso a la justicia para todos,Parcial,PND_1_1_12,ODS_16_3,ODS_16,PND_1_1
1.1.12 Garantizar el acceso de sus derechos a niños/as y adolescentes.,"8.7 Adoptar medidas inmediatas y eficaces para erradicar el trabajo forzoso, poner fin a las formas contemporáneas de esclavitud y la trata de personas y asegurar la prohibición y eliminación de las peores formas de trabajo infantil, incluidos el reclutamiento y la utilización de niños soldados, y, de aquí a 2025, poner fin al trabajo infantil en todas sus formas",Parcial,PND_1_1_12,ODS_8_7,ODS_08,PND_1_1
"1.1.13 Avanzar hacia la igualdad real y efectiva, eliminando la discriminación hacia las mujeres.","10.2 De aquí a 2030, potenciar y promover la inclusión social, económica y política de todas las personas, independientemente de su edad, sexo, discapacidad, raza, etnia, origen, religión o situación económica u otra condición",Parcial,PND_1_1_13,ODS_10_2,ODS_10,PND_1_1
"1.1.13 Avanzar hacia la igualdad real y efectiva, eliminando la discriminación hacia las mujeres.","10.3 Garantizar la igualdad de oportunidades y reducir la desigualdad de resultados, incluso eliminando las leyes, políticas y prácticas discriminatorias y promoviendo legislaciones, políticas y medidas adecuadas a ese respecto",Parcial,PND_1_1_13,ODS_10_3,ODS_10,PND_1_1
"1.1.13 Avanzar hacia la igualdad real y efectiva, eliminando la discriminación hacia las mujeres.","4.3 De aquí a 2030, asegurar el acceso igualitario de todos los hombres y las mujeres a una formación técnica, profesional y superior de calidad, incluida la enseñanza universitaria",Parcial,PND_1_1_13,ODS_4_3,ODS_04,PND_1_1
"1.1.13 Avanzar hacia la igualdad real y efectiva, eliminando la discriminación hacia las mujeres.",5.1  Poner fin a todas las formas de discriminación contra todas las mujeres y las niñas en todo el mundo,Parcial,PND_1_1_13,ODS_5_1,ODS_05,PND_1_1
"1.1.13 Avanzar hacia la igualdad real y efectiva, eliminando la discriminación hacia las mujeres.","5.5 Asegurar la participación plena y efectiva de las mujeres y la igualdad de oportunidades de liderazgo a todos los niveles decisorios en la vida política, económica y pública",Parcial,PND_1_1_13,ODS_5_5,ODS_05,PND_1_1
"1.1.13 Avanzar hacia la igualdad real y efectiva, eliminando la discriminación hacia las mujeres.","5.6 Asegurar el acceso universal a la salud sexual y reproductiva y los derechos reproductivos según lo acordado de conformidad con el Programa de Acción de la Conferencia Internacional sobre la Población y el Desarrollo, la Plataforma de Acción de Beijing y los documentos finales de sus conferencias de examen",Parcial,PND_1_1_13,ODS_5_6,ODS_05,PND_1_1
"1.1.13 Avanzar hacia la igualdad real y efectiva, eliminando la discriminación hacia las mujeres.","5.a Emprender reformas que otorguen a las mujeres igualdad de derechos a los recursos económicos, así como acceso a la propiedad y al control de la tierra y otros tipos de bienes, los servicios financieros, la herencia y los recursos naturales, de conformidad con las leyes nacionales",Parcial,PND_1_1_13,ODS_5_a,ODS_05,PND_1_1
